,period,counts,account_id,batch_size,feature_len,beg_date,end_date
0,24,2421.0,411,100,90,2023-02-07 12:34:55.011,2023-02-07 12:43:48.910
1,23,1081.5,411,100,90,2023-02-07 10:46:10.791,2023-02-07 12:34:54.957
2,58,884.0,411,100,90,2023-02-13 08:46:15.088,2023-02-13 10:01:42.257
3,6,876.0,411,100,90,2023-02-02 16:17:56.601,2023-02-02 17:23:25.671
4,25,870.5,411,100,90,2023-02-07 12:43:49.430,2023-02-07 14:26:25.850
5,69,756.0,411,100,90,2023-02-14 20:39:10.502,2023-02-14 23:39:38.500
6,45,518.0,411,100,90,2023-02-10 20:23:24.992,2023-02-11 07:04:40.591
7,68,476.0,411,100,90,2023-02-14 18:05:01.575,2023-02-14 20:38:38.822
8,40,458.0,411,100,90,2023-02-09 20:12:48.488,2023-02-10 05:36:46.440
9,10,457.0,411,100,90,2023-02-03 05:48:13.260,2023-02-03 10:04:49.491
10,22,442.0,411,100,90,2023-02-07 05:40:37.207,2023-02-07 10:45:06.304
11,66,437.0,411,100,90,2023-02-14 11:31:15.618,2023-02-14 14:43:09.969
12,16,434.0,411,100,90,2023-02-05 06:28:29.539,2023-02-05 12:15:14.035
13,9,396.5,411,100,90,2023-02-02 20:43:41.048,2023-02-03 05:41:53.240
14,56,396.5,411,100,90,2023-02-12 21:07:27.699,2023-02-13 06:29:07.099
15,62,395.0,411,100,90,2023-02-13 17:49:25.069,2023-02-13 20:15:56.003
16,7,385.0,411,100,90,2023-02-02 17:24:10.089,2023-02-02 18:49:26.015
17,49,379.0,411,100,90,2023-02-11 16:27:13.482,2023-02-11 20:13:52.793
18,50,377.0,411,100,90,2023-02-11 20:16:18.685,2023-02-12 07:01:43.261
19,8,354.0,411,100,90,2023-02-02 18:50:27.549,2023-02-02 20:42:18.224
20,60,340.0,411,100,90,2023-02-13 12:10:24.336,2023-02-13 14:23:13.611
21,1,340.0,411,100,90,2023-02-01 00:06:41.492,2023-02-01 10:09:32.481
22,18,334.0,411,100,90,2023-02-05 18:01:43.955,2023-02-06 07:25:16.976
23,28,320.0,411,100,90,2023-02-07 19:50:02.752,2023-02-08 05:17:17.063
24,3,318.0,411,100,90,2023-02-01 17:12:42.639,2023-02-01 21:56:32.506
25,47,302.5,411,100,90,2023-02-11 09:43:39.133,2023-02-11 12:56:58.179
26,67,295.0,411,100,90,2023-02-14 14:43:20.083,2023-02-14 18:02:16.387
27,4,289.0,411,100,90,2023-02-01 22:00:24.445,2023-02-02 10:43:25.865
28,54,285.0,411,100,90,2023-02-12 15:57:39.602,2023-02-12 18:38:10.597
29,48,275.0,411,100,90,2023-02-11 12:59:12.016,2023-02-11 16:25:37.437
30,26,273.0,411,100,90,2023-02-07 14:28:04.965,2023-02-07 17:41:41.450
31,34,273.0,411,100,90,2023-02-08 20:08:56.123,2023-02-09 04:29:09.051
32,37,272.0,411,100,90,2023-02-09 11:35:06.206,2023-02-09 14:09:37.694
33,39,265.0,411,100,90,2023-02-09 17:45:31.405,2023-02-09 20:11:55.884
34,53,260.0,411,100,90,2023-02-12 12:50:10.345,2023-02-12 15:52:13.617
35,43,257.0,411,100,90,2023-02-10 12:56:24.150,2023-02-10 16:59:56.781
36,19,255.0,411,100,90,2023-02-06 07:28:29.775,2023-02-06 12:27:27.373
37,30,254.0,411,100,90,2023-02-08 08:56:10.056,2023-02-08 12:00:10.491
38,31,249.0,411,100,90,2023-02-08 12:00:13.554,2023-02-08 14:37:27.236
39,11,249.0,411,100,90,2023-02-03 10:05:29.246,2023-02-03 16:19:10.414
40,51,243.0,411,100,90,2023-02-12 07:02:57.762,2023-02-12 09:26:12.294
41,61,238.0,411,100,90,2023-02-13 14:23:19.614,2023-02-13 17:45:53.692
42,14,237.0,411,100,90,2023-02-04 11:23:11.265,2023-02-04 16:50:28.476
43,2,237.0,411,100,90,2023-02-01 10:32:45.347,2023-02-01 17:11:30.645
44,12,227.0,411,100,90,2023-02-03 16:21:16.714,2023-02-04 05:48:49.803
45,29,225.0,411,100,90,2023-02-08 05:17:30.176,2023-02-08 08:55:28.415
46,33,223.5,411,100,90,2023-02-08 17:50:27.335,2023-02-08 20:08:06.576
47,5,213.0,411,100,90,2023-02-02 10:45:05.161,2023-02-02 16:17:18.756
48,17,211.0,411,100,90,2023-02-05 12:19:52.636,2023-02-05 17:59:55.208
49,44,207.0,411,100,90,2023-02-10 17:00:08.911,2023-02-10 20:22:03.576
50,65,206.0,411,100,90,2023-02-14 08:30:54.003,2023-02-14 11:30:43.118
51,59,205.0,411,100,90,2023-02-13 10:02:55.270,2023-02-13 12:10:17.662
52,55,205.0,411,100,90,2023-02-12 18:41:26.150,2023-02-12 21:04:52.319
53,21,205.0,411,100,90,2023-02-06 18:11:09.853,2023-02-07 05:33:29.245
54,63,203.0,411,100,90,2023-02-13 20:16:06.485,2023-02-14 05:22:49.118
55,41,198.0,411,100,90,2023-02-10 05:39:27.159,2023-02-10 09:10:20.708
56,27,193.5,411,100,90,2023-02-07 17:41:56.784,2023-02-07 19:49:50.948
57,20,182.0,411,100,90,2023-02-06 12:32:12.746,2023-02-06 18:09:28.298
58,15,177.0,411,100,90,2023-02-04 17:01:59.494,2023-02-05 06:28:00.013
59,42,175.0,411,100,90,2023-02-10 09:14:09.098,2023-02-10 12:56:18.298
60,32,172.0,411,100,90,2023-02-08 14:40:03.076,2023-02-08 17:48:42.346
61,13,167.0,411,100,90,2023-02-04 05:57:52.182,2023-02-04 11:23:00.313
62,52,166.0,411,100,90,2023-02-12 09:28:42.487,2023-02-12 12:50:00.420
63,46,161.0,411,100,90,2023-02-11 07:04:43.851,2023-02-11 09:42:18.953
64,36,160.0,411,100,90,2023-02-09 08:32:20.012,2023-02-09 11:34:43.856
65,57,144.0,411,100,90,2023-02-13 06:31:01.694,2023-02-13 08:46:13.856
66,64,142.0,411,100,90,2023-02-14 05:23:38.389,2023-02-14 08:30:04.723
67,35,138.0,411,100,90,2023-02-09 04:34:15.905,2023-02-09 08:31:41.108
68,38,121.0,411,100,90,2023-02-09 14:11:43.080,2023-02-09 17:44:31.320
